Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1515361860,16225.98,16225.98,16214.58,16214.58,2.64551731,42903.323486,16217.366382
1515361920,16214.58,16218.2,16191.24,16199.75,4.17862054,67723.600563,16207.166914
1515361980,16175.27,16199.63,16159.94,16159.94,1.2630951,20434.74176,16178.308158
1515362040,16175.16,16175.17,16159.98,16175.04,2.29532875,37119.535023,16171.77279
1515362100,16175.07,16175.07,16159.93,16169.98,0.49913614,8072.3849042,16172.711726
1515362160,16169.98,16175.17,16154.75,16155.01,4.45662698,72004.451911,16156.714985
1515362220,16154.99,16160.01,16139.94,16152.73,5.02013464,81079.590861,16150.879742
1515362280,16152.99,16175.17,16152.99,16174.84,4.14638952,67057.202701,16172.432035
1515362340,16156.85,16174.84,16145.28,16174.83,4.07899374,65920.387028,16160.943416
1515362400,16174.98,16189.58,16148.06,16175.98,4.43825204,71779.211013,16172.855973
1515362460,16152.42,16211.42,16152.42,16155.1,3.42152608,55353.698394,16178.072912
1515362520,16199.85,16211.43,16176.2,16199.98,1.48878917,24110.134398,16194.458479
1515362580,16199.98,16210.96,16193.68,16210.82,0.26340467,4267.3231904,16200.636042
1515362640,16193.74,16214.58,16193.73,16214.58,0.83348341,13510.239917,16209.368722
1515362700,16200.22,16214.99,16200.22,16214.59,2.04226843,33112.359083,16213.519534
1515362760,16214.59,16220.22,16199.98,16216.51,11.52779239,186903.27221,16213.275351
1515362820,16216.99,16270,16200.01,16270,9.79094453,159098.35552,16249.541097
1515362880,16270.01,16277.84,16242.42,16270.98,5.07251808,82509.066339,16265.898916
1515362940,16243.06,16270.98,16214.93,16242.99,7.87178039,127872.92613,16244.47327
1515363000,16242.99,16332.99,16242.99,16332.99,3.93277837,64042.659076,16284.329563
1515363060,16331.9,16332.78,16300.07,16300.07,2.585373,42175.185882,16312.998504
1515363120,16300.07,16332.8,16300,16332.73,2.13023353,34766.006192,16320.279304
1515363180,16332.73,16347,16332.73,16333.12,23.16980411,378435.35602,16333.127126
1515363240,16333.22,16347,16324.97,16324.97,1.14477765,18691.34139,16327.486294
1515363300,16324.97,16333.35,16312.47,16333.35,3.2930817,53756.120846,16323.956021
1515363360,16333.35,16346.98,16325.1,16333.41,2.86276506,46773.082672,16338.428649
1515363420,16346.96,16349.94,16333.47,16346.95,1.29689957,21200.400929,16346.9874
1515363480,16346.95,16357.52,16346.95,16357.51,2.43983536,39904.573783,16355.437107
1515363540,16357.52,16357.53,16357.52,16357.53,12.0882569,197734.02262,16357.529812
1515363600,16357.53,16375.13,16357.53,16375.13,2.12055556,34700.308145,16363.781643
1515363660,16375.13,16398.43,16360.36,16398.43,8.98207833,147272.68338,16396.281347
1515363720,16398.42,16398.43,16367.19,16395,2.20614687,36169.085754,16394.686249
